T,U,R
22,0.739,11.3
23,0.772,10.96
24,0.803,10.46
26,0.938,8.97
28,1.025,8.05
30,1.111,7.31
32,1.2,6.64
34,1.288,6.07
36,1.359,5.61
38,1.447,5.13
40,1.517,4.78
42,1.588,4.44
44,1.672,4.11
47,1.788,3.69
48,1.827,3.54
50,1.898,3.33
52,1.978,3.1
55,2.095,2.79
56,2.13,2.7
58,2.207,2.52
60,2.28,2.36
62,2.356,2.2
64,2.436,2.07
66,2.514,1.93
68,2.606,1.8
70,2.67,1.7
72,2.776,1.58
74,2.869,1.46
76,2.958,1.38
78,3.052,1.29
80,3.131,1.21
82,3.221,1.14
84,3.31,1.07
86,3.384,1.01
88,3.483,0.95
90,3.609,0.88
92,3.769,0.82
94,3.858,0.78
96,3.91,0.75
97,3.942,0.74